ozdes_id,RA,DEC
SVA1_COADD-2940002187,53.5476,-27.8165
SVA1_COADD-2925397876,43.5478,-0.3128
SVA1_COADD-2939164850,35.9259,-7.2685
SVA1_COADD-2939312042,55.3213,-27.1241
SVA1_COADD-2938764572,36.6691,-4.6515
SVA1_COADD-2939578595,53.984,-27.3933
DES16X2bcq,35.4854,-6.4749
SVA1_COADD-2939445039,55.4043,-29.1907
SVA1_COADD-2970595083,10.4377,-44.2448
SVA1_COADD-2970857906,9.2554,-44.0293
DES17X1kg,34.7172,-3.9737
SVA1_COADD-2938740427,37.0295,-4.8343
SVA1_COADD-2925731984,41.2892,-1.2434
SVA1_COADD-2940047739,55.2151,-28.6398
SVA1_COADD-2940243259,53.8717,-29.3276
SVA1_COADD-2940256946,54.4817,-29.1891
SVA1_COADD-2970508101,8.3183,-42.4174
SVA1_COADD-2939312945,55.1001,-27.1004
SVA1_COADD-2940281489,53.8262,-28.9386
DES16X1jr,34.0205,-4.2393
SVA1_COADD-2925854636,40.4458,-0.4316
SVA1_COADD-2937748550,34.2403,-5.803
SVA1_COADD-2940270267,53.8982,-29.0482
SVA1_COADD-2970742954,9.2257,-44.5171
SVA1_COADD-2971086578,7.7753,-42.5596
DES17E1bfv,7.7263,-42.5345
SVA1_COADD-2938336035,34.5116,-5.5775
SVA1_COADD-2938478036,35.9402,-4.1256
SVA1_COADD-2938703058,36.5781,-5.1142
SVA1_COADD-2937416895,34.0349,-4.573
SVA1_COADD-2970528747,10.6711,-43.6394
SVA1_COADD-2940692686,53.4104,-28.5602
SVA1_COADD-2970609826,10.6552,-44.0183
SVA1_COADD-2970712230,9.443,-43.85
SVA1_COADD-2970777161,9.2412,-43.4609
SVA1_COADD-2940261596,54.2324,-29.1448
SVA1_COADD-2970674408,8.7355,-44.217
SVA1_COADD-2925679060,40.3791,-1.3729
SVA1_COADD-2971042689,7.9142,-42.8916
SVA1_COADD-2939819333,54.8577,-28.4429
SVA1_COADD-2970858399,9.3039,-44.0245
