ozdes_id,RA,DEC
SVA1_COADD-2970379300,6.85,-43.37
SVA1_COADD-2970400650,9.77,-44.77
SVA1_COADD-2970453134,6.96,-42.56
SVA1_COADD-2970531457,10.03,-43.63
SVA1_COADD-2970535439,10.51,-43.6
SVA1_COADD-2970536601,7.97,-42.28
SVA1_COADD-2970541730,10.37,-43.55
SVA1_COADD-2970583584,10.47,-44.44
SVA1_COADD-2970584766,10.64,-44.42
SVA1_COADD-2970588302,10.22,-44.36
SVA1_COADD-2970600574,10.67,-44.14
SVA1_COADD-2970611342,10.2,-43.99
SVA1_COADD-2970658929,8.73,-44.4
SVA1_COADD-2970680999,9.03,-44.13
SVA1_COADD-2970688391,8.96,-44.06
SVA1_COADD-2970689953,8.3,-44.04
SVA1_COADD-2970690506,8.24,-44.03
SVA1_COADD-2970692752,8.94,-44.01
SVA1_COADD-2940751104,54.91,-26.72
SVA1_COADD-2940760264,55,-26.52
SVA1_COADD-2940762098,55.09,-26.47
SVA1_COADD-2940776105,54.81,-26.67
SVA1_COADD-2940782860,54.42,-26.59
SVA1_COADD-2940859011,52.51,-28.17
SVA1_COADD-2970327234,7.39,-42.42
SVA1_COADD-2970357844,7.41,-42.05
SVA1_COADD-2970362791,7.02,-43.74
SVA1_COADD-2970698267,8.65,-43.94
SVA1_COADD-2970717586,9.7,-43.79
SVA1_COADD-2970739280,10.1,-44.53
SVA1_COADD-2970814714,9.78,-43.32
SVA1_COADD-2970926229,8.04,-43.69
SVA1_COADD-2970976195,7.61,-43.22
SVA1_COADD-2971071581,7.79,-42.7
SVA1_COADD-2971090142,7.72,-42.53
SVA1_COADD-2971163503,8.72,-43.32
SVA1_COADD-2971205283,8.13,-42.98
SVA1_COADD-2971236794,8.14,-42.69
OzDES-DR2_04575,7.2,-43.49
OzDES-DR2_04591,9.49,-42.98
Y1A1_COADD_DFULL-3169574404,33.6,-4.92
